"NilaiMatW","NilaiMatM","NilaiFis","NilaiKim","NilaiBio","NilaiInd","NilaiIng","Status"
"76","77","77","100","86","81","83","0"
"92","87","80","92","83","85","96","1"
"76","90","88","85","82","84","96","0"
"89","88","78","84","91","99","92","1"
"85","87","99","80","86","78","89","1"
"79","94","81","85","83","96","88","0"
"93","90","98","83","100","76","94","1"
"84","93","91","88","77","79","97","1"
"80","77","84","100","77","90","80","0"
"84","91","87","88","96","77","90","1"
"84","79","100","97","86","93","92","1"
"92","98","90","94","100","85","81","1"
"84","87","80","97","94","80","98","1"
"82","85","83","94","79","96","94","0"
"90","91","83","84","96","85","90","1"
"88","78","84","95","77","93","90","0"
"93","97","80","76","79","84","86","0"
"88","79","90","92","94","76","84","1"
"89","88","98","83","98","87","79","1"
"89","80","97","84","76","84","90","0"
"100","83","96","88","90","80","89","1"
"84","89","91","80","93","77","82","0"
"99","76","77","84","89","82","88","0"
"79","93","100","92","83","91","98","1"
"76","80","100","85","76","94","94","0"
"76","86","93","92","80","80","77","0"
"89","77","97","97","76","96","77","0"
"78","80","82","83","81","94","95","0"
"97","90","100","98","90","86","87","1"
"91","85","97","91","83","80","99","1"
"91","80","77","80","94","79","81","0"
"86","90","99","90","91","90","85","1"
"91","78","87","77","96","96","92","0"
"97","93","92","81","99","85","100","1"
"78","86","82","98","95","81","92","1"
"87","84","85","94","82","100","83","0"
"91","91","93","78","100","86","98","1"
"89","76","76","78","84","90","94","0"
"76","84","81","98","85","95","81","0"
"83","88","82","99","98","82","78","1"
"97","100","87","84","81","98","100","1"
"87","93","76","86","89","92","95","1"
"87","82","93","86","81","100","83","0"
"98","99","86","100","98","89","78","1"
"100","87","77","85","78","87","97","1"
"99","81","85","87","89","86","79","1"
"78","100","89","83","93","81","77","1"
"93","79","100","86","83","98","86","1"
"95","89","78","95","92","97","99","1"
"95","97","97","93","83","96","90","1"
"91","100","96","77","88","84","99","1"
"91","99","100","97","79","80","78","1"
"92","92","99","76","87","93","80","1"
"93","80","78","90","91","77","91","0"
"100","99","94","94","91","92","95","1"
"100","86","82","94","84","100","100","1"
"97","84","99","79","76","80","99","1"
"90","88","83","89","88","79","78","0"
"81","84","94","85","89","96","86","0"
"85","96","96","88","89","99","80","1"
"77","100","84","88","93","91","94","1"
"76","87","85","87","97","91","77","0"
"88","81","97","82","100","90","86","1"
"78","96","90","96","86","77","91","1"
"95","95","82","76","85","96","83","1"
"78","83","100","80","92","80","100","1"
"77","80","96","97","96","91","99","1"
"86","92","76","79","76","78","96","0"
"76","99","94","94","83","78","96","1"
"83","76","83","86","91","78","94","0"
"79","88","80","87","83","82","78","0"
"99","79","94","89","83","96","92","1"
"89","88","97","93","85","78","100","1"
"83","82","91","79","77","95","82","0"
"90","77","93","87","91","100","90","1"
"97","85","94","95","89","87","95","1"
"77","82","76","94","81","87","97","0"
"77","91","88","90","84","85","91","0"
"86","96","79","83","96","82","79","1"
"78","87","88","89","100","90","89","1"
"100","86","77","77","82","98","89","0"
"76","91","90","94","86","99","83","1"
"78","98","87","81","92","91","88","1"
"95","92","90","98","84","80","91","1"
"81","81","95","84","85","100","89","0"
"86","86","77","85","87","95","97","0"
"99","93","95","96","99","100","83","1"
"95","86","90","91","77","82","87","1"
"96","99","79","83","95","77","98","1"
"90","85","82","100","91","88","91","1"
"94","80","83","87","86","84","95","1"
"99","94","81","96","91","96","80","1"
"85","100","96","97","77","93","80","1"
"95","76","85","91","79","99","100","1"
"86","88","82","95","83","90","78","0"
"96","94","94","95","76","88","88","1"
"99","86","91","94","94","82","93","1"
"88","91","96","95","96","83","99","1"
"93","85","87","84","92","94","89","1"
"83","89","78","96","94","76","82","0"
"81","81","89","88","85","95","95","0"
"91","96","97","87","86","98","95","1"
"90","96","88","88","97","89","91","1"
"81","77","98","82","79","82","93","0"
"89","82","89","92","81","89","87","0"
"97","81","94","86","93","93","91","1"
"79","84","80","92","97","88","86","0"
"82","78","81","98","78","86","83","0"
"78","84","79","87","78","82","80","0"
"77","93","95","92","77","84","77","0"
"79","96","80","77","89","93","84","0"
"79","95","87","78","83","76","95","0"
"81","86","77","100","92","80","79","0"
"87","77","100","98","95","96","93","1"
"79","77","100","78","95","94","78","0"
"94","77","99","87","91","79","99","1"
"85","90","93","84","97","76","78","1"
"97","95","85","87","79","92","96","1"
"79","92","86","90","78","99","93","0"
"93","77","93","83","82","90","76","0"
"94","87","79","93","79","93","96","1"
"77","95","76","100","88","77","92","1"
"86","76","97","77","84","87","90","0"
"98","97","96","91","99","89","85","1"
"93","94","90","79","84","93","93","1"
"90","95","95","92","97","88","80","1"
"79","99","89","78","96","89","85","1"
"94","79","99","95","77","79","82","1"
"80","84","89","90","84","96","85","0"
"76","98","93","86","81","89","84","0"
"99","79","100","77","97","90","80","1"
"77","76","100","90","87","86","99","0"
"76","92","87","88","77","91","93","0"
"89","79","76","94","78","87","84","0"
"81","83","98","92","76","79","93","0"
"98","89","86","89","83","98","86","1"
"93","93","82","96","86","78","92","1"
"96","90","77","78","97","99","91","1"
"81","81","97","100","87","80","85","1"
"77","81","90","83","96","80","82","0"
"84","97","99","94","76","92","93","1"
"87","82","94","91","96","83","100","1"
"79","97","79","93","96","100","90","1"
"76","88","99","79","76","83","88","0"
"79","95","96","84","91","94","83","1"
"81","77","97","83","79","82","97","0"
"87","97","89","90","84","91","83","1"
"83","95","81","76","82","100","95","0"
"78","100","79","97","91","95","89","1"
"83","90","81","96","92","87","87","1"
"92","77","81","89","86","95","77","0"
"90","100","90","82","100","95","97","1"
"88","95","88","88","90","100","89","1"
"95","76","77","99","76","93","91","0"
"89","89","100","81","99","77","96","1"
"89","94","93","99","98","100","83","1"
"78","93","94","94","91","98","87","1"
"100","98","97","82","87","89","79","1"
"81","97","89","96","80","79","76","1"
"94","78","90","89","95","90","81","1"
"92","83","96","95","81","90","96","1"
"79","76","79","91","92","88","83","0"
"78","91","79","92","87","80","99","0"
"92","90","91","87","76","96","86","1"
"89","80","93","76","78","91","76","0"
"78","81","100","76","87","93","76","0"
"93","80","100","99","85","96","79","1"
"87","87","89","99","100","79","79","1"
"93","77","77","78","91","82","80","0"
"86","95","97","86","90","94","87","1"
"96","95","84","77","88","86","87","1"
"80","90","81","95","81","99","82","0"
"90","83","86","95","97","77","88","1"
"81","79","97","88","98","87","89","1"
"80","76","93","87","97","89","90","0"
"90","78","97","76","81","95","84","0"
"94","80","99","85","98","93","85","1"
"86","86","100","90","76","93","90","1"
"81","94","94","99","83","83","95","1"
"82","80","82","89","92","76","76","0"
"80","76","92","94","79","79","100","0"
"93","99","79","80","93","89","80","1"
"96","96","77","87","79","77","91","1"
"83","96","91","98","88","91","93","1"
"100","82","83","90","99","80","89","1"
"89","79","78","92","93","99","93","1"
"94","81","93","98","79","94","85","1"
"93","100","99","82","83","100","82","1"
"91","98","91","89","86","91","86","1"
"96","89","78","98","85","90","96","1"
"97","88","77","86","79","78","92","0"
"98","92","95","85","97","82","77","1"
"96","94","92","82","92","85","83","1"
"93","77","99","91","98","85","90","1"
"87","100","92","93","96","88","96","1"
"77","78","77","80","91","77","81","0"
"98","84","92","79","76","83","83","0"
"96","99","82","93","82","97","88","1"
"82","94","93","80","93","80","97","1"
"86","87","76","95","79","89","89","0"
"79","93","87","82","85","100","98","1"
"89","89","99","78","93","95","92","1"
"78","96","94","91","98","93","95","1"
"83","86","83","90","87","99","78","0"
"81","76","93","84","81","95","77","0"
"98","83","91","78","83","95","82","1"
"85","84","95","77","86","96","93","0"
"91","83","95","88","85","91","84","1"
"82","77","99","98","85","80","80","0"
"81","81","77","91","80","87","91","0"
"99","92","92","92","85","97","82","1"
"84","77","90","94","84","89","93","0"
"80","91","88","86","90","92","95","1"
"81","84","83","92","93","86","98","1"
"93","99","91","88","79","82","98","1"
"80","78","96","99","94","97","87","1"
"98","76","94","81","93","100","82","1"
"87","82","89","90","99","81","80","1"
"82","84","86","98","87","87","80","0"
"86","99","90","93","95","92","81","1"
"82","100","93","95","91","86","82","1"
"76","76","92","80","93","77","100","0"
"86","95","84","82","100","92","89","1"
"86","86","100","82","90","100","100","1"
"96","90","79","91","98","95","93","1"
"93","90","81","81","87","85","94","1"
"91","80","82","96","79","88","99","1"
"78","79","82","99","81","98","92","0"
"77","88","86","89","92","76","87","0"
"81","79","85","91","91","91","80","0"
"91","83","86","84","80","91","93","0"
"91","80","88","98","77","90","77","0"
"82","90","98","78","83","84","92","0"
"85","86","91","77","91","84","83","0"
"79","80","88","76","89","86","87","0"
"84","97","90","95","89","86","90","1"
"95","99","76","92","97","84","91","1"
"85","78","86","94","96","82","88","1"
"92","80","79","98","81","85","86","0"
"93","91","97","96","96","76","94","1"
"99","79","88","82","94","100","92","1"
"84","96","97","86","83","100","86","1"
"98","87","79","89","81","85","87","1"
"100","100","79","79","81","100","99","1"
"97","82","98","94","98","82","79","1"
"97","84","86","89","86","100","84","1"
"89","89","93","88","84","91","83","1"
"77","86","99","76","91","82","88","0"
"96","81","84","86","80","96","81","0"
"97","97","91","100","82","98","99","1"
"100","88","93","84","95","89","87","1"
"90","89","89","98","78","91","91","1"
"83","100","91","91","80","99","89","1"
"80","94","81","79","87","92","97","0"
"83","84","91","77","77","94","83","0"
"84","97","98","99","84","95","83","1"
"84","89","77","87","85","86","79","0"
"99","82","93","90","77","97","88","1"
"76","89","92","93","96","94","89","1"
"79","94","77","82","97","83","98","1"
"83","100","87","90","91","87","76","1"
"91","98","96","100","91","94","95","1"
"89","99","96","94","99","95","94","1"
"89","95","86","93","90","95","90","1"
"83","95","76","84","76","83","86","0"
"77","93","76","76","80","85","83","0"
"89","100","92","100","87","96","96","1"
"76","80","78","87","87","95","95","0"
"87","98","80","91","91","80","94","1"
"93","86","96","86","77","88","81","1"
"78","84","91","95","97","87","85","1"
"80","97","77","79","83","87","99","0"
"88","76","89","85","83","86","97","0"
"90","100","86","94","90","85","94","1"
"96","97","85","89","96","84","99","1"
"89","95","92","86","95","78","76","1"
"77","92","84","79","91","97","90","0"
"89","78","77","83","100","93","88","0"
"77","93","99","85","79","82","100","1"
"76","98","83","81","80","87","76","0"
"87","100","86","83","100","84","93","1"
"81","78","81","80","84","88","90","0"
"98","97","84","98","83","97","92","1"
"96","89","97","87","98","99","93","1"
"84","86","92","99","80","97","87","1"
"97","89","99","100","84","90","81","1"
"98","96","98","91","89","95","99","1"
"77","94","86","97","83","93","81","1"
"81","87","97","86","98","90","87","1"
"81","77","97","79","81","99","97","0"
"97","100","97","89","80","90","98","1"
"78","78","93","94","77","84","81","0"
"81","97","88","80","83","82","100","1"
"92","87","84","81","84","85","87","0"
"77","79","93","96","93","94","98","1"
"79","94","99","92","86","97","81","1"
"84","86","89","81","90","84","76","0"
"88","87","83","95","79","84","97","1"
"98","91","99","85","99","80","95","1"
"83","87","90","76","81","81","79","0"
"88","97","89","95","80","93","85","1"
"96","80","86","79","90","83","99","1"
"91","81","81","91","91","92","90","1"
"87","96","97","96","87","87","81","1"
"88","97","81","82","98","100","93","1"
"80","86","87","96","94","99","98","1"
"97","76","94","100","84","89","88","1"
"94","95","88","77","81","77","80","0"
"78","91","84","80","100","77","83","0"
"85","79","92","80","86","99","92","0"
"99","96","90","82","95","80","87","1"
"94","86","86","93","94","98","91","1"
"97","79","99","85","84","94","86","1"
"88","100","80","87","80","86","98","1"
"78","84","96","78","84","79","90","0"
"83","100","82","86","81","90","86","1"
"98","77","85","98","84","84","80","1"
"77","78","89","88","85","79","86","0"
"88","98","78","76","91","89","89","1"
"93","83","81","90","94","81","87","1"
"84","87","85","95","90","98","93","1"
"97","91","86","80","78","96","94","1"
"97","88","80","76","100","89","97","1"
"91","89","99","82","91","92","100","1"
"82","87","88","91","96","87","92","1"
"80","99","84","82","97","100","90","1"
"87","89","100","77","81","89","84","0"
"100","90","91","93","90","82","99","1"
"89","78","93","91","97","92","92","1"
"88","99","93","89","96","93","88","1"
"85","87","86","100","88","77","95","1"
"83","83","91","94","76","90","100","1"
"80","87","82","99","84","84","77","0"
"94","96","83","89","79","98","77","1"
"91","86","78","100","100","79","81","1"
"98","83","81","80","77","94","79","0"
"77","93","91","77","81","88","98","0"
"86","79","79","95","88","77","78","0"
"84","99","89","98","87","81","89","1"
"91","79","91","90","94","78","89","1"
"82","93","78","96","100","84","77","1"
"92","79","95","88","93","93","82","1"
"81","81","78","81","94","77","93","0"
"84","97","78","77","79","97","83","0"
"99","89","79","79","86","79","82","0"
"95","98","77","88","91","92","78","1"
"97","76","85","88","93","96","100","1"
"91","84","83","92","86","85","78","0"
"99","77","90","84","86","91","100","1"
"82","86","90","89","100","97","81","1"
"83","98","79","96","89","94","97","1"
"84","83","79","88","97","92","100","1"
"100","93","83","96","85","92","100","1"
"85","76","91","82","84","82","100","0"
"95","76","79","99","92","90","78","1"
"87","78","96","88","86","85","96","1"
"91","82","90","97","96","82","86","1"
"99","87","79","84","83","81","92","1"
"88","99","99","94","80","100","90","1"
"92","77","88","85","85","77","98","0"
"90","86","96","78","98","96","85","1"
"82","81","76","94","95","83","84","0"
"93","81","90","95","94","89","89","1"
"86","79","87","83","79","77","78","0"
"93","95","92","82","77","83","77","1"
"77","100","76","83","100","98","85","1"
"76","87","96","88","86","86","93","0"
"80","86","86","94","80","88","80","0"
"84","89","86","92","83","89","91","1"
"91","86","99","78","97","83","95","1"
"100","96","77","99","97","98","81","1"
"80","90","81","96","77","84","77","0"
"96","77","83","77","92","98","84","0"
"89","82","78","95","85","83","98","1"
"77","100","89","79","80","77","85","0"
"76","98","84","95","79","90","83","0"
"83","76","92","78","86","98","82","0"
"82","84","91","91","83","89","97","1"
"80","87","81","83","90","95","81","0"
"88","92","82","77","80","98","79","0"
"100","85","77","93","98","95","100","1"
"96","87","100","94","86","97","98","1"
"80","83","92","76","91","77","81","0"
"90","85","80","86","76","82","89","0"
"97","100","76","93","78","88","95","1"
"82","87","96","91","89","98","84","1"
"86","91","86","83","79","99","97","1"
"84","98","98","91","87","83","99","1"
"97","78","93","78","77","77","92","0"
"93","93","87","95","88","76","78","1"
"77","77","79","97","87","88","87","0"
"79","90","95","92","97","77","86","1"
"76","80","88","76","87","95","86","0"
"81","80","85","95","82","100","94","0"
"98","83","80","80","91","88","77","0"
"92","85","90","87","87","100","79","1"
"94","85","80","92","96","89","86","1"
"80","82","79","76","86","77","97","0"
"83","88","81","87","91","79","87","0"
"99","91","86","96","100","90","98","1"
"95","95","91","91","82","100","82","1"
"77","97","89","88","87","86","94","1"
"95","90","97","85","84","77","78","1"
"91","77","97","97","94","76","92","1"
"84","87","78","94","95","97","86","1"
"86","88","77","88","99","92","95","1"
"81","78","96","92","94","88","80","0"
"76","94","81","98","99","99","88","1"
"76","80","85","94","99","80","85","0"
"76","82","97","92","90","100","91","1"
"78","89","88","84","83","95","78","0"
"78","90","98","90","89","89","81","1"
"100","90","80","94","95","92","79","1"
"92","79","87","92","78","90","92","0"
"93","85","93","99","93","88","90","1"
"92","77","93","97","92","96","84","1"
"82","78","89","93","93","94","86","0"
"89","80","87","92","97","87","95","1"
"76","100","92","82","83","85","83","0"
"89","90","99","76","77","92","87","1"
"87","78","90","84","84","85","84","0"
"85","77","93","93","89","98","94","1"
"91","91","95","98","86","82","82","1"
"99","78","95","95","87","97","83","1"
"96","98","76","100","96","87","87","1"
"79","94","90","97","81","93","96","1"
"78","90","83","78","78","80","76","0"
"92","93","97","89","80","87","97","1"
"95","87","84","83","81","100","94","1"
"93","85","82","90","83","97","92","1"
"85","94","93","82","94","83","97","1"
"96","79","77","88","87","79","96","0"
"99","86","100","93","83","86","91","1"
"89","78","82","83","83","95","79","0"
"87","94","88","79","80","98","95","1"
"86","90","94","90","81","96","89","1"
"79","81","95","80","82","93","90","0"
"81","83","78","93","77","100","84","0"
"91","79","88","90","81","88","99","1"
"94","95","86","86","87","99","86","1"
"79","80","87","78","78","84","96","0"
"94","95","76","87","97","86","85","1"
"87","86","94","94","93","97","91","1"
"87","100","94","77","83","85","84","1"
"97","95","79","90","76","96","97","1"
"82","94","91","79","81","98","86","0"
"97","80","77","97","79","85","86","0"
"85","87","81","90","77","95","82","0"
"84","98","97","99","89","92","78","1"
"77","78","94","77","100","88","77","0"
"77","90","91","87","92","78","84","0"
"91","79","76","76","79","93","81","0"
"77","100","92","85","97","98","79","1"
"80","76","93","84","86","85","80","0"
"79","83","77","89","81","91","97","0"
"92","98","85","91","80","91","88","1"
"87","79","84","91","79","93","99","0"
"79","87","90","96","88","93","76","0"
"87","99","85","94","95","92","80","1"
"95","91","82","80","92","96","92","1"
"78","98","96","96","77","96","87","1"
"82","98","79","90","95","93","85","1"
"100","78","100","98","86","99","79","1"
"93","88","88","81","82","93","82","0"
"85","77","82","90","84","83","97","0"
"80","100","93","98","80","81","79","1"
"92","92","81","86","100","98","99","1"
"82","81","78","96","88","83","85","0"
"81","89","80","93","84","79","83","0"
"81","86","90","88","93","96","92","1"
"80","81","78","89","79","91","79","0"
"97","93","84","78","82","83","76","0"
"96","98","82","97","84","99","87","1"
"95","76","84","87","90","85","91","0"
"94","95","90","84","82","85","78","1"
"100","88","100","87","79","90","85","1"
"88","94","85","98","83","98","85","1"
"90","88","82","98","99","97","88","1"
"87","89","97","83","79","87","92","1"
"85","84","89","76","94","94","86","0"
"80","94","98","80","83","81","79","0"
"76","81","99","86","88","76","76","0"
"78","83","77","94","78","77","98","0"
"88","83","95","93","79","100","98","1"
"76","95","96","79","79","94","85","0"
"83","95","81","94","88","90","85","1"
"86","81","81","91","86","82","76","0"
"91","90","78","92","95","80","83","1"
"84","92","88","95","93","98","82","1"
"94","82","96","97","78","87","96","1"
"93","100","98","100","79","95","93","1"
"79","98","81","87","86","77","90","0"
"93","88","77","78","87","87","84","0"
"83","99","92","93","82","91","90","1"
"96","84","95","83","98","93","90","1"
"88","98","92","100","82","91","96","1"
"99","100","83","96","86","96","82","1"
"82","78","89","76","77","78","98","0"
"86","94","91","91","99","83","94","1"
"78","93","82","76","87","86","91","0"
"94","98","76","76","76","91","85","0"
"93","88","92","86","85","80","78","1"
"82","83","94","85","84","80","91","0"
"78","100","86","86","92","95","78","1"
"84","81","87","94","97","93","90","1"
"90","94","97","87","86","93","91","1"
"98","98","79","80","79","97","79","1"
"100","83","82","99","89","93","95","1"
"81","99","76","90","85","99","77","0"
"88","80","99","94","90","78","96","1"
"79","89","92","98","85","76","77","0"
"91","93","98","99","86","85","93","1"
"91","94","98","93","99","85","100","1"
"79","84","88","87","95","92","89","0"
"81","90","80","89","78","85","94","0"
"99","83","87","96","87","89","94","1"
"95","85","100","79","99","92","81","1"
"92","76","93","78","93","96","95","1"
"79","99","77","100","97","99","83","1"
"82","93","87","79","89","82","81","0"
"85","95","97","89","96","90","83","1"
"76","99","92","93","95","99","76","1"
"80","91","91","92","97","91","85","1"
"100","81","82","95","76","99","94","1"
"79","79","85","96","76","78","93","0"
"87","76","87","76","99","88","91","0"
"99","77","93","100","78","89","93","1"
"94","87","100","96","78","77","76","1"
"100","95","89","97","100","77","99","1"
"84","79","88","81","94","83","86","0"
"80","98","91","89","96","79","84","1"
"99","91","94","92","79","99","95","1"
"95","82","94","99","77","77","81","1"
"99","78","87","76","93","88","94","1"
"82","98","87","93","85","81","86","1"
"79","79","98","82","82","79","76","0"
"94","90","94","92","88","84","99","1"
"80","91","81","85","91","83","82","0"
"76","86","89","86","81","87","87","0"
"84","83","93","93","85","94","78","0"
"95","83","77","80","80","83","97","0"
"90","95","100","81","96","87","92","1"
"97","78","77","89","76","97","87","0"
"76","77","87","93","80","95","85","0"
"83","97","100","87","76","88","91","1"
"93","79","94","100","97","85","82","1"
"98","96","91","97","99","88","80","1"
"79","94","91","94","100","89","76","1"
"98","76","78","97","95","94","78","1"
"77","97","87","81","83","78","99","0"
"81","81","87","80","83","76","82","0"
"88","93","88","85","76","96","84","0"
"79","97","80","79","91","86","95","0"
"99","92","94","76","94","78","95","1"
"96","79","91","85","83","84","86","0"
"77","100","83","82","86","90","76","0"
"97","97","90","80","93","98","98","1"
"84","92","79","86","93","86","82","0"
"83","76","96","97","83","95","92","1"
"93","97","89","90","78","80","96","1"
"82","93","86","98","96","77","95","1"
"84","76","100","86","93","95","78","0"
"96","89","82","79","97","98","76","1"
"80","79","86","95","93","80","98","0"
"94","87","89","84","98","82","94","1"
"79","94","92","77","89","94","85","0"
"90","81","99","80","78","88","82","0"
"81","96","83","95","93","84","91","1"
"93","85","88","89","76","77","90","0"
"81","87","81","77","91","83","94","0"
"99","98","88","85","94","99","83","1"
"77","93","79","85","82","80","90","0"
"96","81","99","80","89","77","86","1"
"84","80","92","82","89","86","77","0"
"99","98","87","83","84","76","97","1"
"90","94","80","93","94","81","77","1"
"93","99","81","78","100","97","98","1"
"90","86","91","80","99","80","80","1"
"78","98","96","79","93","87","78","1"
"79","94","98","94","90","86","94","1"
"79","86","90","92","93","80","84","0"
"79","87","95","87","97","77","76","0"
"78","86","96","92","86","93","89","1"
"78","85","92","76","87","96","100","0"
"83","91","78","78","99","90","90","0"
"78","79","98","91","76","100","98","0"
"85","81","89","77","81","76","86","0"
"95","88","93","78","90","93","79","1"
"83","92","95","93","77","85","86","1"
"93","89","87","83","89","100","85","1"
"98","97","94","94","85","82","78","1"
"93","80","76","90","89","97","91","0"
"98","97","82","92","78","95","84","1"
"86","88","100","83","78","83","79","0"
"90","83","83","100","80","79","98","1"
"82","94","93","81","98","100","84","1"
"93","78","83","80","91","83","92","0"
"89","97","81","84","78","97","90","1"
"80","96","87","98","76","98","100","1"
"99","98","89","90","91","90","100","1"
"93","88","87","84","78","97","84","0"
"99","97","97","84","89","88","79","1"
"88","100","98","82","97","89","97","1"
"95","97","92","94","97","98","80","1"
"95","94","78","85","87","88","78","1"
"85","84","88","97","99","87","88","1"
"90","94","77","82","84","84","77","0"
"80","78","81","86","83","77","93","0"
"97","98","92","83","94","87","79","1"
"83","76","89","82","85","77","81","0"
"76","81","83","91","97","99","87","0"
"87","79","86","98","95","95","98","1"
"95","89","96","77","86","96","86","1"
"82","85","90","89","84","100","84","0"
"96","77","79","93","94","86","80","0"
"89","84","83","91","84","91","96","1"
"98","83","78","90","87","93","96","1"
"83","77","77","100","98","81","88","0"
"85","100","91","83","91","79","82","1"
"85","78","88","100","88","89","90","1"
"83","91","98","90","91","83","96","1"
"97","94","77","84","82","81","84","1"
"85","80","84","89","89","77","83","0"
"93","87","83","98","95","85","100","1"
"96","88","89","90","91","94","91","1"
"77","85","94","76","87","86","84","0"
"86","79","76","77","84","86","87","0"
"94","87","90","83","82","92","93","1"
"85","82","98","98","92","100","77","1"
"81","93","89","76","97","87","84","1"
"93","99","88","88","93","95","84","1"
"80","94","78","86","92","99","95","1"
"95","95","77","91","94","77","97","1"
"84","91","77","82","80","89","85","0"
"95","85","77","89","93","94","83","1"
"95","97","90","84","83","89","83","1"
"88","76","86","100","91","97","91","1"
"89","79","79","84","97","99","98","1"
"95","79","91","76","92","93","87","1"
"83","89","99","77","78","86","83","0"
"89","83","88","83","77","81","76","0"
"87","94","89","76","76","93","76","0"
"84","85","98","77","80","81","83","0"
"86","85","95","92","89","82","77","1"
"89","100","81","84","94","92","91","1"
"79","86","99","77","87","97","94","0"
"97","93","79","87","77","80","85","1"
"87","100","90","90","81","93","82","1"
"90","85","82","89","78","91","77","0"
"97","99","100","77","83","99","80","1"
"83","85","79","91","89","95","83","0"
"85","86","100","89","94","89","100","1"
"77","89","97","77","79","82","86","0"
"89","95","97","90","86","79","90","1"
"87","91","93","100","100","99","90","1"
"77","82","90","89","97","82","80","0"
"89","88","82","97","85","78","87","1"
"81","84","97","83","90","87","100","1"
"91","80","91","95","76","86","86","0"
"79","99","76","88","84","88","91","0"
"87","76","92","93","91","96","80","0"
"95","82","95","87","84","90","96","1"
"98","94","85","95","96","88","95","1"
"93","77","78","85","82","79","82","0"
"89","90","88","90","100","89","100","1"
"97","98","99","95","76","92","99","1"
"86","85","87","83","76","88","88","0"
"82","83","95","100","98","97","79","1"
"94","77","85","80","99","81","91","1"
"99","82","100","99","78","96","89","1"
"84","87","97","89","86","92","84","1"
"97","97","97","85","76","91","84","1"
"97","95","85","83","85","96","99","1"
"86","87","92","78","91","100","79","0"
"91","91","79","94","91","82","95","1"
"88","97","78","90","96","83","86","1"
"99","94","92","96","88","87","83","1"
"99","98","97","94","92","92","76","1"
"81","79","77","82","92","80","97","0"
"98","85","92","85","84","100","93","1"
"99","84","81","93","93","95","100","1"
"89","98","91","99","89","92","83","1"
"81","93","98","79","90","87","93","1"
"98","90","80","88","79","76","97","1"
"94","98","88","81","85","94","91","1"
"77","80","92","92","94","97","78","0"
"86","80","89","82","89","82","96","0"
"83","98","80","98","96","98","92","1"
"86","83","83","91","98","93","100","1"
"83","80","77","83","100","91","88","0"
"85","78","95","96","100","90","91","1"
"95","94","87","95","87","86","82","1"
"85","90","88","89","89","80","89","1"
"86","76","100","81","99","79","80","0"
"98","79","81","88","85","78","98","1"
"76","78","95","87","88","97","89","0"
"96","87","81","90","96","91","99","1"
"82","95","96","77","90","97","87","1"
"91","80","82","82","97","95","94","1"
